Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1340000,0.42850107,0.0,13.100903,1.2032168,0.09849053,7.330244e-05,248.0,35.683716047893874,35.683716047893874,1.0
1350000,0.45083863,0.0,13.7027855,1.3667042,0.098118655,7.309057e-05,248.0,36.93293945228352,36.93293945228352,1.0
1360000,0.442529,0.0,13.483489,1.416985,0.10081149,7.290272e-05,246.609756097561,36.23907828330994,36.23907828330994,1.0
1370000,0.46861857,0.0,13.574542,1.6514581,0.097789526,7.2713665e-05,247.6341463414634,35.01814171744556,35.01814171744556,1.0
1380000,0.4460374,0.0,13.191298,1.1788685,0.10072641,7.25024e-05,247.75555555555556,36.282464589012996,36.282464589012996,1.0
1390000,0.42969438,0.0,13.073932,1.0804592,0.098582596,7.2295275e-05,248.0,35.42273715647256,35.42273715647256,1.0
1400000,0.4320042,0.0,13.480604,1.1887946,0.09405882,7.2086565e-05,248.0,36.35543200704787,36.35543200704787,1.0
1410000,0.43028978,0.0,13.400119,1.4443263,0.09758175,7.189559e-05,247.45945945945945,37.82730397662601,37.82730397662601,1.0
1420000,0.4508881,0.0,13.344448,1.6725681,0.0964831,7.170796e-05,246.09756097560975,37.010328928629555,37.010328928629555,1.0
1430000,0.43553698,0.0,13.031754,1.3312316,0.096078545,7.149861e-05,248.0,34.449263735612234,34.449263735612234,1.0
1440000,0.44501984,0.0,13.118172,1.6075687,0.10145767,7.128646e-05,247.4418604651163,37.4751148053578,37.4751148053578,1.0
1450000,0.45190412,0.0,13.372119,1.3022907,0.08747471,7.109722e-05,248.0,37.08727477236492,37.08727477236492,1.0
1460000,0.44690606,0.0,13.749405,1.3420801,0.094802335,7.090655e-05,248.0,36.2186971226254,36.2186971226254,1.0
1470000,0.4342099,0.0,13.540842,1.6428369,0.09352609,7.069425e-05,247.60526315789474,37.21816701638071,37.21816701638071,1.0
1480000,0.43833196,0.0,13.536227,1.3440834,0.099780075,7.050373e-05,248.0,35.180804999251116,35.180804999251116,1.0
1490000,0.4383384,0.0,13.34401,1.4666533,0.09455616,7.031481e-05,246.69767441860466,36.42402924810137,36.42402924810137,1.0
1500000,0.4538707,0.0,13.8151245,1.7690351,0.10196813,7.010316e-05,247.53846153846155,37.32645382025303,37.32645382025303,1.0
1510000,0.43463776,0.0,13.189512,1.4189138,0.096548505,6.9892456e-05,247.84782608695653,35.414226438688196,35.414226438688196,1.0
1520000,0.45437762,0.0,13.8458,1.7190161,0.09459324,6.970222e-05,247.3421052631579,36.442994533441,36.442994533441,1.0
1530000,0.43037054,0.0,13.630157,1.5364021,0.096890315,6.951312e-05,248.0,37.83817890213757,37.83817890213757,1.0
1540000,0.42927352,0.0,13.513448,1.3283186,0.09860304,6.930648e-05,248.0,35.76871145472807,35.76871145472807,1.0
1550000,0.43682367,0.0,13.180887,1.31331,0.101735905,6.909647e-05,247.8,35.294621051886146,35.294621051886146,1.0
1560000,0.4418406,0.0,13.2100525,1.2985356,0.102334484,6.8885114e-05,248.0,36.34008967876434,36.34008967876434,1.0
1570000,0.4264776,0.0,13.033963,1.4308441,0.098097906,6.869663e-05,248.0,35.53724644031931,35.53724644031931,1.0
1580000,0.3955196,0.0,13.19586,1.4547307,0.10297593,6.8505964e-05,247.43243243243242,36.24935705597336,36.24935705597336,1.0
1590000,0.4199071,0.0,13.311789,1.379044,0.09905867,6.829213e-05,248.0,36.527285394214445,36.527285394214445,1.0
1600000,0.4100572,0.0,13.439064,1.6041358,0.09810698,6.810337e-05,247.47058823529412,36.66265956333705,36.66265956333705,1.0
1610000,0.39641038,0.0,13.2832985,1.5059054,0.10158541,6.79126e-05,247.6888888888889,37.01653242111206,37.01653242111206,1.0
1620000,0.39073774,0.0,13.404859,1.5740067,0.09673706,6.770026e-05,248.0,37.61988070072272,37.61988070072272,1.0
1630000,0.39186147,0.0,13.335263,1.318725,0.10194113,6.7487825e-05,248.0,37.290967646099276,37.290967646099276,1.0
1640000,0.38867888,0.0,13.657229,1.470787,0.09920888,6.7299e-05,247.93939393939394,37.3584753816778,37.3584753816778,1.0
1650000,0.3920923,0.0,13.59488,1.6907505,0.09808497,6.710866e-05,247.54761904761904,36.76127138370421,36.76127138370421,1.0
1660000,0.3953343,0.0,13.389288,1.7127403,0.095342435,6.689818e-05,247.65,36.503731192612065,36.503731192612065,1.0
1670000,0.4089942,0.0,13.15373,1.485591,0.098853484,6.6687506e-05,248.0,37.45439773924807,37.45439773924807,1.0
1680000,0.39966437,0.0,13.35776,1.6103613,0.103400335,6.649912e-05,247.78378378378378,36.62391048983524,36.62391048983524,1.0
1690000,0.4194397,0.0,13.447207,1.3826991,0.09847583,6.630961e-05,248.0,36.845451379433655,36.845451379433655,1.0
1700000,0.43242866,0.0,13.479454,1.3670894,0.10021105,6.609779e-05,245.66666666666666,36.282237123040595,36.282237123040595,1.0
1710000,0.43665066,0.0,13.461237,1.3204482,0.09545494,6.588847e-05,248.0,36.452347894994226,36.452347894994226,1.0
1720000,0.424031,0.0,13.493572,1.072573,0.10069028,6.570015e-05,247.70454545454547,36.30683080885145,36.30683080885145,1.0
1730000,0.45950094,0.0,13.404492,1.4809453,0.09573169,6.5511485e-05,247.72727272727272,36.50195108458053,36.50195108458053,1.0
1740000,0.4149525,0.0,13.573407,1.4491643,0.09351167,6.530447e-05,247.1081081081081,36.89667681643837,36.89667681643837,1.0
1750000,0.41151023,0.0,13.434283,1.4098908,0.09903644,6.5096414e-05,247.32432432432432,36.37677184740702,36.37677184740702,1.0
1760000,0.4147425,0.0,13.402698,1.4316657,0.09603424,6.488511e-05,247.44736842105263,35.819201065943794,35.819201065943794,1.0
1770000,0.41016823,0.0,13.274637,1.516912,0.09997841,6.469728e-05,247.07142857142858,35.74668335914612,35.74668335914612,1.0
1780000,0.40488487,0.0,13.176997,1.2051857,0.09729442,6.450799e-05,248.0,36.28737079529535,36.28737079529535,1.0
1790000,0.41704115,0.0,13.091815,1.5556182,0.10440062,6.429609e-05,246.52380952380952,36.74458983966282,36.74458983966282,1.0
1800000,0.43009347,0.0,13.267069,1.3593428,0.09624431,6.410565e-05,247.64864864864865,35.9059774373707,35.9059774373707,1.0
1810000,0.41613185,0.0,13.086184,1.4150856,0.09769367,6.3914486e-05,247.85,36.06235171587039,36.06235171587039,1.0
1820000,0.39391664,0.0,13.120348,1.4257755,0.0965831,6.370404e-05,247.11627906976744,36.42755971171639,36.42755971171639,1.0
1830000,0.41786805,0.0,13.401736,1.367652,0.09508036,6.349292e-05,248.0,36.39140526453654,36.39140526453654,1.0
1840000,0.4098173,0.0,13.404106,1.3439432,0.09369217,6.330175e-05,247.625,36.87446801662445,36.87446801662445,1.0
1850000,0.4261283,0.0,13.606038,1.3126763,0.09494895,6.3113344e-05,247.52777777777777,36.93350684302194,36.93350684302194,1.0
1860000,0.4103651,0.0,13.354406,1.8070486,0.09709396,6.2904175e-05,246.20454545454547,37.53886618397453,37.53886618397453,1.0
1870000,0.41196397,0.0,13.414958,1.7085724,0.10476084,6.2693434e-05,245.0,36.450042149959465,36.450042149959465,1.0
1880000,0.43197545,0.0,12.894113,1.2654779,0.09128662,6.2483974e-05,248.0,35.77439725663927,35.77439725663927,1.0
1890000,0.43495756,0.0,13.423051,1.6290462,0.09506935,6.229365e-05,248.0,36.89842621485392,36.89842621485392,1.0
1900000,0.42634484,0.0,13.144206,1.4115918,0.098101184,6.210289e-05,246.78048780487805,36.50616635595049,36.50616635595049,1.0
1910000,0.42773998,0.0,13.666861,1.5637982,0.09191153,6.1894025e-05,247.41176470588235,37.61530615301693,37.61530615301693,1.0
1920000,0.43711132,0.0,13.020101,1.1978333,0.10357928,6.170313e-05,248.0,37.14201515653859,37.14201515653859,1.0
1930000,0.43814936,0.0,13.31278,1.6535295,0.090592735,6.1512095e-05,245.71052631578948,36.58984405743448,36.58984405743448,1.0
1940000,0.4269722,0.0,12.773793,1.5059117,0.095981196,6.130063e-05,247.9111111111111,36.72354773415459,36.72354773415459,1.0
1950000,0.41112322,0.0,13.101265,1.3560064,0.10072722,6.108813e-05,248.0,36.889672703213165,36.889672703213165,1.0
1960000,0.42315084,0.0,13.051854,1.6594635,0.09701976,6.0896862e-05,247.92857142857142,36.52476439365121,36.52476439365121,1.0
1970000,0.41775912,0.0,13.291834,1.6049879,0.09763159,6.0705963e-05,247.44444444444446,36.46119973394606,36.46119973394606,1.0
1980000,0.43904606,0.0,13.172693,1.510475,0.10588368,6.0492057e-05,248.0,35.95318201111584,35.95318201111584,1.0
1990000,0.4152532,0.0,13.297043,1.5952737,0.10174903,6.0299888e-05,248.0,36.87734414435722,36.87734414435722,1.0
2000000,0.41655952,0.0,13.006491,1.6730534,0.0980979,6.0108716e-05,247.69767441860466,36.78196157411087,36.78196157411087,1.0
2010000,0.43226647,0.0,12.738005,1.4464715,0.098245054,5.989836e-05,247.425,35.72507493495941,35.72507493495941,1.0
2020000,0.411479,0.0,12.676512,1.4840981,0.09750497,5.9689115e-05,247.0222222222222,36.091878493626915,36.091878493626915,1.0
2030000,0.43406153,0.0,13.239563,1.6471901,0.09396991,5.9500893e-05,247.76470588235293,36.41598334312439,36.41598334312439,1.0
2040000,0.41699785,0.0,13.193022,1.6382987,0.10334526,5.9313497e-05,246.61904761904762,37.73280656628492,37.73280656628492,1.0
2050000,0.40861866,0.0,13.343145,1.3909546,0.098088905,5.9101534e-05,248.0,37.0319287776947,37.0319287776947,1.0
2060000,0.42193565,0.0,13.283716,1.3282274,0.09941662,5.8889964e-05,248.0,36.519929682336205,36.519929682336205,1.0
2070000,0.43259513,0.0,13.268535,1.8764768,0.10271089,5.8700378e-05,247.38095238095238,38.39773998149606,38.39773998149606,1.0
2080000,0.43325204,0.0,13.440058,1.3296715,0.101254985,5.8509548e-05,248.0,36.60898481832968,36.60898481832968,1.0
2090000,0.408978,0.0,13.174545,1.5080757,0.0903732,5.8297195e-05,247.425,36.55928263664246,36.55928263664246,1.0
2100000,0.39769354,0.0,13.386381,1.5625902,0.10159643,5.808593e-05,248.0,37.08326694965363,37.08326694965363,1.0
2110000,0.3976043,0.0,13.227394,1.5124079,0.09987853,5.789632e-05,248.0,36.60346653244712,36.60346653244712,1.0
2120000,0.4012097,0.0,13.355499,1.6561832,0.09624496,5.7705118e-05,247.69230769230768,37.109325445615326,37.109325445615326,1.0
2130000,0.39751515,0.0,13.571915,1.7490469,0.09740217,5.749295e-05,247.51351351351352,37.48866025821583,37.48866025821583,1.0
2140000,0.40981513,0.0,13.451529,1.6343219,0.095608264,5.7301862e-05,247.67567567567568,36.630592545947515,36.630592545947515,1.0
2150000,0.41524002,0.0,13.057834,1.7308624,0.09649281,5.711168e-05,246.3181818181818,35.410839890324795,35.410839890324795,1.0
2160000,0.40810093,0.0,13.26964,1.4005724,0.098082185,5.689981e-05,248.0,37.78248953819275,37.78248953819275,1.0
2170000,0.38860196,0.0,13.149946,1.6487997,0.09573977,5.6688965e-05,247.8181818181818,36.053417142232256,36.053417142232256,1.0
2180000,0.39930922,0.0,13.234191,1.4592861,0.10535868,5.6500565e-05,248.0,34.98058648790632,34.98058648790632,1.0
2190000,0.40122655,0.0,13.361505,1.5012757,0.09756023,5.6307683e-05,247.64102564102564,35.5293714205424,35.5293714205424,1.0
2200000,0.42094123,0.0,13.121796,1.5395856,0.103932425,5.6093144e-05,247.1315789473684,36.51042482015249,36.51042482015249,1.0
2210000,0.39442903,0.0,12.681452,1.2476718,0.105528414,5.590218e-05,248.0,35.65865693850951,35.65865693850951,1.0
2220000,0.3821691,0.0,13.196164,1.5429761,0.10196032,5.5709424e-05,248.0,35.972091341018675,35.972091341018675,1.0
2230000,0.38683987,0.0,13.298505,1.7922661,0.1007941,5.5496603e-05,246.8,37.66840181118104,37.66840181118104,1.0
2240000,0.40156895,0.0,13.460483,1.5679494,0.09546616,5.5305845e-05,247.73684210526315,37.41579188798603,37.41579188798603,1.0
2250000,0.38500756,0.0,13.346255,1.5606099,0.10753192,5.5114575e-05,247.7674418604651,37.12317752838135,37.12317752838135,1.0
2260000,0.39162546,0.0,13.423825,1.721524,0.09431114,5.4900145e-05,246.94871794871796,36.23445520645533,36.23445520645533,1.0
2270000,0.39767733,0.0,13.401432,1.4667474,0.095999174,5.4686137e-05,245.71428571428572,38.47865990230015,38.47865990230015,1.0
2280000,0.42435127,0.0,12.93782,1.6029975,0.09435029,5.4493798e-05,247.94736842105263,36.00594381185678,36.00594381185678,1.0
2290000,0.40341187,0.0,13.334166,1.7597109,0.09398336,5.430252e-05,248.0,37.59684415867454,37.59684415867454,1.0
2300000,0.39416713,0.0,13.021088,1.5750976,0.09640741,5.4090156e-05,247.875,36.625238466262815,36.625238466262815,1.0
2310000,0.38800046,0.0,13.149794,1.5662782,0.095707186,5.389928e-05,247.5909090909091,36.389578916809775,36.389578916809775,1.0
2320000,0.39772755,0.0,13.266279,1.3646463,0.10080918,5.370807e-05,248.0,36.651705249761925,36.651705249761925,1.0
2330000,0.37378472,0.0,13.351053,1.3492548,0.09975394,5.3495634e-05,247.71794871794873,37.34671878814697,37.34671878814697,1.0
2340000,0.38297307,0.0,13.069252,1.195228,0.10165063,5.330454e-05,248.0,36.80698533058167,36.80698533058167,1.0
2350000,0.38978547,0.0,13.111368,1.3339672,0.097612865,5.311328e-05,247.92307692307693,34.234057585398354,34.234057585398354,1.0
2360000,0.39429432,0.0,13.30916,1.6550487,0.10201533,5.2901283e-05,247.325,36.8186831841102,36.8186831841102,1.0
2370000,0.37515908,0.0,13.1024685,1.4755373,0.09189658,5.2688043e-05,247.5,36.58267213106156,36.58267213106156,1.0
2380000,0.37872973,0.0,13.315341,1.4099325,0.09796766,5.249562e-05,247.85365853658536,36.156738224483675,36.156738224483675,1.0
2390000,0.4106161,0.0,13.651117,1.4289875,0.09737125,5.2304393e-05,248.0,36.64947780167184,36.64947780167184,1.0
2400000,0.3822193,0.0,13.318533,1.4280007,0.09473026,5.2091906e-05,248.0,36.82843683987129,36.82843683987129,1.0
2410000,0.3743646,0.0,13.464052,1.3844538,0.09796835,5.1900723e-05,247.75675675675674,36.20234555167121,36.20234555167121,1.0
2420000,0.36604398,0.0,13.367703,1.3562932,0.090111524,5.1709525e-05,248.0,36.18094248649402,36.18094248649402,1.0
2430000,0.38271037,0.0,13.224367,1.5688615,0.09652201,5.1497453e-05,247.05128205128204,36.066081010378326,36.066081010378326,1.0
2440000,0.3725463,0.0,13.100165,1.5254471,0.09731099,5.1286974e-05,247.53333333333333,37.82037776311238,37.82037776311238,1.0
2450000,0.37725133,0.0,13.276258,1.5745795,0.09974422,5.1097333e-05,247.25,35.5800964474678,35.5800964474678,1.0
2460000,0.39835477,0.0,13.292358,1.4417347,0.09877932,5.090597e-05,246.23809523809524,37.14271743123124,37.14271743123124,1.0
2470000,0.37767434,0.0,13.622058,1.4737421,0.107342646,5.0692943e-05,247.5142857142857,35.55169602814648,35.55169602814648,1.0
2480000,0.3801446,0.0,13.375712,1.4348178,0.099072814,5.050218e-05,247.28571428571428,35.804764340563516,35.804764340563516,1.0
2490000,0.37209007,0.0,13.4938755,1.3536456,0.09457191,5.0309267e-05,248.0,36.666937442052934,36.666937442052934,1.0
2500000,0.3615857,0.0,13.419131,1.2699318,0.09886786,5.009622e-05,248.0,36.67280173301697,36.67280173301697,1.0
2510000,0.3637728,0.0,13.320803,1.3492521,0.10123469,4.9905073e-05,248.0,36.433927268516726,36.433927268516726,1.0
2520000,0.3569599,0.0,13.275263,1.4326264,0.09919478,4.9713715e-05,247.81578947368422,36.77385832812335,36.77385832812335,1.0
2530000,0.3621497,0.0,13.162135,1.3312242,0.098767236,4.950136e-05,248.0,35.02272726768671,35.02272726768671,1.0
2540000,0.38065338,0.0,13.408538,1.7682598,0.10021534,4.9289643e-05,245.74358974358975,37.421761858463285,37.421761858463285,1.0
2550000,0.37270764,0.0,12.959549,1.4950445,0.0908497,4.9097136e-05,247.73809523809524,36.58022994086856,36.58022994086856,1.0
2560000,0.37539262,0.0,13.385066,1.6195008,0.098895274,4.890585e-05,247.78947368421052,37.742898865749964,37.742898865749964,1.0
2570000,0.39483,0.0,13.268323,1.7664102,0.10123803,4.869419e-05,246.625,37.646141517453074,37.646141517453074,1.0
2580000,0.3694583,0.0,13.517176,1.7803435,0.09369056,4.8504036e-05,246.71052631578948,36.076948133674826,36.076948133674826,1.0
2590000,0.37459126,0.0,13.1723995,1.5315418,0.091573454,4.831302e-05,248.0,35.96846055984497,35.96846055984497,1.0
2600000,0.4044956,0.0,13.052279,1.3645769,0.10328023,4.8100886e-05,247.4102564102564,35.17807148664426,35.17807148664426,1.0
2610000,0.37250024,0.0,12.874979,1.2269303,0.100601986,4.788927e-05,247.04545454545453,36.356890960173175,36.356890960173175,1.0
2620000,0.38617706,0.0,13.450308,1.5628654,0.09834111,4.769755e-05,247.78947368421052,36.3403617669093,36.3403617669093,1.0
2630000,0.36999014,0.0,13.357224,1.7289909,0.10394645,4.750475e-05,247.225,37.29646956920624,37.29646956920624,1.0
2640000,0.34938234,0.0,13.196875,1.3160716,0.09416055,4.7293222e-05,248.0,36.50144044558207,36.50144044558207,1.0
